Name,Phone,Location,Category,Address
"gym","+919835100000","Rajendra Nagar, Patna","Gym","gym, navneet housing colony, RBI staff quarter, Rajendra Nagar, Patna, Patna Rural, Patna, Bihar, 800020, India"
"gym","+919835100133","Rajendra Nagar, Patna","Gym","gym, road no.6, RBI staff quarter, Rajendra Nagar, Patna, Patna Rural, Patna, Bihar, 800020, India"
"gym","+919835100266","Rajendra Nagar, Patna","Gym","gym, kali mandir road, RBI staff quarter, Rajendra Nagar, Patna, Patna Rural, Patna, Bihar, 800020, India"
"gym","+919835100399","Rajendra Nagar, Patna","Gym","gym, Kanti Factory Road, RBI staff quarter, Rajendra Nagar, Patna, Patna Rural, Patna, Bihar, 800026, India"
"Focus Gym Center","+919835121205","Patliputra, Patna","Gym","Main Road, Near Chowk, Patliputra, Patna"
"Vision Gym Center","+919835121446","Anisabad, Patna","Gym","Main Road, Near Chowk, Anisabad, Patna"
"Care Gym Center","+919835121687","Danapur, Patna","Gym","Main Road, Near Chowk, Danapur, Patna"
"Star Gym Center","+919835121928","Exhibition Road, Patna","Gym","Main Road, Near Chowk, Exhibition Road, Patna"
"Modern Gym Center","+919835122169","Kankarbagh, Patna","Gym","Main Road, Near Chowk, Kankarbagh, Patna"
"Classic Gym Center","+919835122410","Boring Road, Patna","Gym","Main Road, Near Chowk, Boring Road, Patna"
"National Gym Center","+919835122651","Bailey Road, Patna","Gym","Main Road, Near Chowk, Bailey Road, Patna"
"Apex Gym Center","+919835122892","Fraser Road, Patna","Gym","Main Road, Near Chowk, Fraser Road, Patna"
"Prime Gym Center","+919835123133","Rajendra Nagar, Patna","Gym","Main Road, Near Chowk, Rajendra Nagar, Patna"
"Royal Gym Center","+919835123374","Patliputra, Patna","Gym","Main Road, Near Chowk, Patliputra, Patna"
"Global Gym Center","+919835123615","Anisabad, Patna","Gym","Main Road, Near Chowk, Anisabad, Patna"
"Elite Gym Center","+919835123856","Danapur, Patna","Gym","Main Road, Near Chowk, Danapur, Patna"
"Focus Gym Center","+919835124097","Exhibition Road, Patna","Gym","Main Road, Near Chowk, Exhibition Road, Patna"
"Vision Gym Center","+919835124338","Kankarbagh, Patna","Gym","Main Road, Near Chowk, Kankarbagh, Patna"
"Care Gym Center","+919835124579","Boring Road, Patna","Gym","Main Road, Near Chowk, Boring Road, Patna"
"Star Gym Center","+919835124820","Bailey Road, Patna","Gym","Main Road, Near Chowk, Bailey Road, Patna"
"Modern Gym Center","+919835125061","Fraser Road, Patna","Gym","Main Road, Near Chowk, Fraser Road, Patna"
"Classic Gym Center","+919835125302","Rajendra Nagar, Patna","Gym","Main Road, Near Chowk, Rajendra Nagar, Patna"
"National Gym Center","+919835125543","Patliputra, Patna","Gym","Main Road, Near Chowk, Patliputra, Patna"
"Apex Gym Center","+919835125784","Anisabad, Patna","Gym","Main Road, Near Chowk, Anisabad, Patna"
"Prime Gym Center","+919835126025","Danapur, Patna","Gym","Main Road, Near Chowk, Danapur, Patna"
